base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,door_8966_joint_1
-0.620317,1.15306,0.385337,0.626044,-0.490556,0.0920466,0.398509,1.06218,-1.5708,1.52
-0.597418,1.13035,0.384629,0.585469,-0.529602,0.170853,0.358749,1.01083,-1.5708,1.53006
-0.575065,1.10616,0.383591,0.544564,-0.569365,0.249604,0.319761,0.959915,-1.5708,1.53904
-0.553415,1.0806,0.382175,0.503281,-0.609843,0.32827,0.281572,0.90936,-1.5708,1.5469
-0.532626,1.05376,0.38033,0.46157,-0.651024,0.406802,0.244222,0.859093,-1.5708,1.55361
-0.51284,1.02576,0.377993,0.419366,-0.692877,0.485095,0.207782,0.809009,-1.5708,1.55915
-0.494139,0.99669,0.375063,0.376568,-0.735286,0.562888,0.172397,0.758907,-1.5708,1.56352
-0.476448,0.966563,0.371329,0.332963,-0.777901,0.639512,0.138388,0.70835,-1.5708,1.56674
-0.45922,0.935202,0.366267,0.288023,-0.819694,0.713153,0.10654,0.656234,-1.5708,1.56885
-0.441059,0.902015,0.358803,0.240663,-0.858229,0.779726,0.0785025,0.600265,-1.5708,1.57
-0.418059,0.865372,0.346196,0.188118,-0.887601,0.829605,0.0579956,0.535114,-1.5708,1.57
-0.390034,0.825333,0.328658,0.13061,-0.904717,0.858325,0.0463914,0.46129,-1.5708,1.56878
-0.355433,0.788344,0.305849,0.067836,-0.915562,0.876391,0.0391703,0.387961,-1.5708,1.55652
-0.317498,0.75487,0.279627,0.00164786,-0.923042,0.88879,0.0342508,0.318492,-1.5708,1.53358
-0.277036,0.726329,0.250861,-0.067085,-0.928424,0.897682,0.0307406,0.255935,-1.5708,1.49864
-0.235163,0.702726,0.2207,-0.137216,-0.932401,0.904237,0.0281628,0.201583,-1.5708,1.4527
-0.192286,0.684099,0.190192,-0.207695,-0.935408,0.909182,0.0262236,0.156478,-1.5708,1.39682
-0.148647,0.669883,0.160284,-0.277568,-0.937845,0.913185,0.024657,0.120749,-1.5708,1.33277
-0.103875,0.660064,0.131976,-0.345821,-0.940075,0.916844,0.0232279,0.0951806,-1.5708,1.26177
-0.057245,0.654448,0.106111,-0.411576,-0.942423,0.920691,0.0217283,0.0803599,-1.5708,1.18497
-0.00912954,0.650313,0.0822989,-0.475131,-0.945009,0.924924,0.0200805,0.0731185,-1.57079,1.10485
0.0395559,0.644946,0.0596336,-0.537136,-0.947765,0.929426,0.0183331,0.0698468,-1.57079,1.02345
0.0880433,0.637337,0.0376696,-0.597305,-0.950638,0.934113,0.0165191,0.0691029,-1.57079,0.942061
0.135467,0.627361,0.0160502,-0.654341,-0.953564,0.938879,0.0146791,0.0704192,-1.57079,0.862089
0.180327,0.615778,-0.00576277,-0.704795,-0.95641,0.943507,0.0128968,0.0739342,-1.57079,0.786307
0.220048,0.603594,-0.0267492,-0.74624,-0.958964,0.947656,0.0113031,0.0787588,-1.5708,0.719051
0.253859,0.591243,-0.0454416,-0.780676,-0.961166,0.951226,0.00993452,0.0834734,-1.5708,0.661208
0.284119,0.578733,-0.0629979,-0.810365,-0.963165,0.954464,0.00869699,0.0884211,-1.5708,0.609015
0.312656,0.56609,-0.0808606,-0.835715,-0.965073,0.957552,0.00751763,0.0943731,-1.5708,0.55985
0.340345,0.552801,-0.0988497,-0.858884,-0.96698,0.960635,0.00634212,0.101086,-1.5708,0.51198
0.367504,0.538716,-0.11701,-0.880435,-0.968919,0.963766,0.00515015,0.108555,-1.5708,0.464799
0.394237,0.523621,-0.135088,-0.901225,-0.970915,0.966985,0.00392682,0.116585,-1.5708,0.417901
0.420547,0.507438,-0.152988,-0.921563,-0.972978,0.970308,0.00266652,0.125105,-1.5708,0.371143
0.446405,0.490139,-0.170662,-0.941581,-0.975111,0.973742,0.00136692,0.134084,-1.5708,0.324472
0.471768,0.47172,-0.188091,-0.96132,-0.977318,0.977288,2.70119e-05,0.143512,-1.5708,0.277875
0.49659,0.452189,-0.205265,-0.980795,-0.979598,0.980949,-0.0013533,0.153387,-1.5708,0.231352
0.520826,0.43156,-0.222178,-1.00001,-0.981954,0.984726,-0.00277418,0.163707,-1.5708,0.184907
0.54443,0.409847,-0.238827,-1.01895,-0.984386,0.988619,-0.00423549,0.174475,-1.5708,0.138546
0.567355,0.387072,-0.255207,-1.03763,-0.986893,0.992629,-0.00573704,0.185692,-1.5708,0.0922726
0.589559,0.363253,-0.271315,-1.05603,-0.989478,0.996754,-0.00727844,0.197361,-1.5708,0.0460905
0.611001,0.338413,-0.28715,-1.07416,-0.992138,1.001,-0.00885912,0.209486,-1.5708,3.8136e-16
